Date,Store_ID,Item_ID,Medicine_Name,Category,Base_Price,Promotion,Holiday,Units_Sold,Day_of_Week,Month,Is_Weekend
2025-05-22,Lakshya Medicals,M114,Pantoprazole,Antacid,110,0,0,73,Thursday,May,0
2025-08-12,SmartMed Pharmacy,M114,Pantoprazole,Antacid,110,0,0,60,Tuesday,August,0
2025-05-20,Sara Medicos,M108,Amoxicillin,Antibiotic,180,0,0,62,Tuesday,May,0
2025-11-30,BMS Pharmacy,M113,Digene,Antacid,60,1,1,109,Sunday,November,1
2025-02-12,HealthMart,M119,Eye Drops,Eye Care,160,0,0,68,Wednesday,February,0
2025-01-11,Chen Drugstore,M101,Paracetamol,Painkiller,25,0,1,106,Saturday,January,1
2025-04-08,Lakshya Medicals,M115,Calcium Tablet,Supplement,250,0,0,72,Tuesday,April,0
2025-01-10,BMS Pharmacy,M103,Dolo 650,Painkiller,30,0,0,68,Friday,January,0
2025-07-17,Chen Drugstore,M101,Paracetamol,Painkiller,25,1,0,103,Thursday,July,0
2025-02-09,City Medicals,M103,Dolo 650,Painkiller,30,0,0,78,Sunday,February,1
2025-01-28,SmartMed Pharmacy,M102,Crocin,Painkiller,35,0,0,64,Tuesday,January,0
2025-11-25,Chen Drugstore,M120,Hand Sanitizer,Hygiene,90,0,0,83,Tuesday,November,0
2025-06-10,BMS Pharmacy,M116,Iron Tablet,Supplement,180,0,0,63,Tuesday,June,0
2025-04-01,City Medicals,M104,Vitamin C,Vitamin,120,0,0,61,Tuesday,April,0
2025-04-25,Apollo Pharmacy,M119,Eye Drops,Eye Care,160,0,0,72,Friday,April,0
2025-01-22,Lakshya Medicals,M118,Asthma Inhaler,Respiratory,450,1,0,81,Wednesday,January,0
2025-08-10,Chen Drugstore,M108,Amoxicillin,Antibiotic,180,0,0,86,Sunday,August,1
2025-03-17,HealthMart,M109,Azithromycin,Antibiotic,220,1,0,93,Monday,March,0
2025-12-05,Apollo Pharmacy,M120,Hand Sanitizer,Hygiene,90,0,0,72,Friday,December,0
2025-11-21,BMS Pharmacy,M113,Digene,Antacid,60,1,0,90,Friday,November,0
2025-11-14,Claire Drughouse,M103,Dolo 650,Painkiller,30,1,0,106,Friday,November,0
2025-07-01,BMS Pharmacy,M117,BP Tablet,Cardiac,320,1,0,87,Tuesday,July,0
2025-11-30,Apollo Pharmacy,M114,Pantoprazole,Antacid,110,1,0,95,Sunday,November,1
2025-12-08,Sara Medicos,M114,Pantoprazole,Antacid,110,0,0,71,Monday,December,0
2025-05-03,Lakshya Medicals,M102,Crocin,Painkiller,35,0,0,80,Saturday,May,1
2025-10-03,Sara Medicos,M103,Dolo 650,Painkiller,30,1,0,88,Friday,October,0
2025-01-30,Claire Drughouse,M108,Amoxicillin,Antibiotic,180,0,0,73,Thursday,January,0
2025-05-14,Sara Medicos,M101,Paracetamol,Painkiller,25,1,1,120,Wednesday,May,0
2025-03-13,Lakshya Medicals,M110,Cetirizine,Allergy,40,1,0,96,Thursday,March,0
2025-02-05,SmartMed Pharmacy,M109,Azithromycin,Antibiotic,220,0,0,60,Wednesday,February,0
2025-01-18,Claire Drughouse,M114,Pantoprazole,Antacid,110,0,0,79,Saturday,January,1
2025-10-03,Sara Medicos,M101,Paracetamol,Painkiller,25,0,0,85,Friday,October,0
2025-09-17,Claire Drughouse,M118,Asthma Inhaler,Respiratory,450,0,0,53,Wednesday,September,0
2025-12-10,Clarkson's Pharma,M116,Iron Tablet,Supplement,180,0,0,83,Wednesday,December,0
2025-03-30,Lakshya Medicals,M115,Calcium Tablet,Supplement,250,1,0,102,Sunday,March,1
2025-09-04,Clarkson's Pharma,M106,Insulin,Diabetes,550,1,1,81,Thursday,September,0
2025-04-19,City Medicals,M110,Cetirizine,Allergy,40,0,1,118,Saturday,April,1
2025-02-10,Clarkson's Pharma,M106,Insulin,Diabetes,550,1,1,101,Monday,February,0
2025-12-16,Claire Drughouse,M118,Asthma Inhaler,Respiratory,450,1,0,74,Tuesday,December,0
2025-07-11,Clarkson's Pharma,M101,Paracetamol,Painkiller,25,1,0,86,Friday,July,0
2025-09-13,Apollo Pharmacy,M120,Hand Sanitizer,Hygiene,90,0,0,77,Saturday,September,1
2025-03-05,Lakshya Medicals,M103,Dolo 650,Painkiller,30,0,0,78,Wednesday,March,0
2025-08-26,BMS Pharmacy,M104,Vitamin C,Vitamin,120,0,0,76,Tuesday,August,0
2025-07-23,City Medicals,M115,Calcium Tablet,Supplement,250,0,0,70,Wednesday,July,0
2025-04-18,HealthMart,M117,BP Tablet,Cardiac,320,1,0,92,Friday,April,0
2025-08-24,Clarkson's Pharma,M112,Cough Syrup,Cough,140,1,0,109,Sunday,August,1
2025-06-05,Clarkson's Pharma,M105,ORS,Hydration,25,1,0,105,Thursday,June,0
2025-05-26,Claire Drughouse,M119,Eye Drops,Eye Care,160,1,0,101,Monday,May,0
2025-04-21,BMS Pharmacy,M114,Pantoprazole,Antacid,110,0,0,59,Monday,April,0
2025-11-12,Lakshya Medicals,M114,Pantoprazole,Antacid,110,0,0,67,Wednesday,November,0
2025-12-06,Lakshya Medicals,M111,Benadryl,Cough,90,0,0,82,Saturday,December,1
2025-04-21,Lakshya Medicals,M119,Eye Drops,Eye Care,160,0,0,68,Monday,April,0
2025-01-02,City Medicals,M103,Dolo 650,Painkiller,30,0,0,88,Thursday,January,0
2025-10-09,BMS Pharmacy,M117,BP Tablet,Cardiac,320,0,1,72,Thursday,October,0
2025-11-30,Claire Drughouse,M112,Cough Syrup,Cough,140,0,0,73,Sunday,November,1
2025-11-22,Apollo Pharmacy,M108,Amoxicillin,Antibiotic,180,0,0,70,Saturday,November,1
2025-07-14,Apollo Pharmacy,M120,Hand Sanitizer,Hygiene,90,0,0,70,Monday,July,0
2025-11-08,BMS Pharmacy,M120,Hand Sanitizer,Hygiene,90,0,0,83,Saturday,November,1
2025-10-01,Chen Drugstore,M119,Eye Drops,Eye Care,160,1,0,85,Wednesday,October,0
2025-12-05,BMS Pharmacy,M112,Cough Syrup,Cough,140,0,0,85,Friday,December,0
2025-08-15,SmartMed Pharmacy,M107,Metformin,Diabetes,80,0,0,83,Friday,August,0
2025-03-30,HealthMart,M109,Azithromycin,Antibiotic,220,0,0,72,Sunday,March,1
2025-07-31,Chen Drugstore,M118,Asthma Inhaler,Respiratory,450,0,0,69,Thursday,July,0
2025-01-11,Sara Medicos,M102,Crocin,Painkiller,35,0,0,78,Saturday,January,1
2025-05-07,HealthMart,M103,Dolo 650,Painkiller,30,1,0,90,Wednesday,May,0
2025-08-16,City Medicals,M114,Pantoprazole,Antacid,110,0,0,90,Saturday,August,1
2025-01-26,BMS Pharmacy,M103,Dolo 650,Painkiller,30,1,1,124,Sunday,January,1
2025-08-28,City Medicals,M117,BP Tablet,Cardiac,320,0,0,54,Thursday,August,0
2025-09-03,SmartMed Pharmacy,M108,Amoxicillin,Antibiotic,180,1,0,91,Wednesday,September,0
2025-05-30,HealthMart,M108,Amoxicillin,Antibiotic,180,1,0,105,Friday,May,0
2025-08-09,Sara Medicos,M106,Insulin,Diabetes,550,0,0,63,Saturday,August,1
2025-07-01,Chen Drugstore,M101,Paracetamol,Painkiller,25,0,0,87,Tuesday,July,0
2025-11-08,BMS Pharmacy,M101,Paracetamol,Painkiller,25,0,0,101,Saturday,November,1
2025-07-26,SmartMed Pharmacy,M104,Vitamin C,Vitamin,120,1,0,96,Saturday,July,1
2025-01-09,SmartMed Pharmacy,M108,Amoxicillin,Antibiotic,180,0,0,77,Thursday,January,0
2025-02-26,SmartMed Pharmacy,M114,Pantoprazole,Antacid,110,0,0,80,Wednesday,February,0
2025-09-16,Claire Drughouse,M107,Metformin,Diabetes,80,0,0,72,Tuesday,September,0
2025-02-16,SmartMed Pharmacy,M119,Eye Drops,Eye Care,160,0,0,94,Sunday,February,1
2025-06-14,SmartMed Pharmacy,M119,Eye Drops,Eye Care,160,0,0,82,Saturday,June,1
2025-04-16,SmartMed Pharmacy,M117,BP Tablet,Cardiac,320,0,0,51,Wednesday,April,0
2025-11-18,Chen Drugstore,M106,Insulin,Diabetes,550,0,0,43,Tuesday,November,0
2025-02-12,Clarkson's Pharma,M106,Insulin,Diabetes,550,0,0,65,Wednesday,February,0
2025-10-13,SmartMed Pharmacy,M116,Iron Tablet,Supplement,180,0,0,59,Monday,October,0
2025-07-28,Sara Medicos,M112,Cough Syrup,Cough,140,0,0,73,Monday,July,0
2025-02-13,BMS Pharmacy,M101,Paracetamol,Painkiller,25,1,0,96,Thursday,February,0
2025-10-31,Claire Drughouse,M110,Cetirizine,Allergy,40,1,1,111,Friday,October,0
2025-10-22,Claire Drughouse,M106,Insulin,Diabetes,550,0,0,52,Wednesday,October,0
2025-03-01,Chen Drugstore,M112,Cough Syrup,Cough,140,1,0,99,Saturday,March,1
2025-01-19,HealthMart,M115,Calcium Tablet,Supplement,250,1,0,112,Sunday,January,1
2025-01-26,Clarkson's Pharma,M105,ORS,Hydration,25,0,0,93,Sunday,January,1
2025-06-09,SmartMed Pharmacy,M111,Benadryl,Cough,90,0,0,73,Monday,June,0
2025-07-30,City Medicals,M108,Amoxicillin,Antibiotic,180,1,0,105,Wednesday,July,0
2025-11-03,Sara Medicos,M116,Iron Tablet,Supplement,180,1,0,85,Monday,November,0
2025-06-20,BMS Pharmacy,M115,Calcium Tablet,Supplement,250,0,0,72,Friday,June,0
2025-05-28,Claire Drughouse,M114,Pantoprazole,Antacid,110,0,1,76,Wednesday,May,0
2025-07-14,Claire Drughouse,M116,Iron Tablet,Supplement,180,0,0,72,Monday,July,0
2025-09-20,Clarkson's Pharma,M105,ORS,Hydration,25,0,0,87,Saturday,September,1
2025-04-06,HealthMart,M112,Cough Syrup,Cough,140,0,0,92,Sunday,April,1
2025-05-03,Sara Medicos,M103,Dolo 650,Painkiller,30,1,0,122,Saturday,May,1
2025-10-27,BMS Pharmacy,M101,Paracetamol,Painkiller,25,0,0,81,Monday,October,0
2025-07-17,Sara Medicos,M111,Benadryl,Cough,90,0,0,74,Thursday,July,0
2025-11-29,SmartMed Pharmacy,M113,Digene,Antacid,60,0,1,113,Saturday,November,1
2025-11-25,Claire Drughouse,M105,ORS,Hydration,25,0,0,90,Tuesday,November,0
2025-02-18,HealthMart,M116,Iron Tablet,Supplement,180,0,0,75,Tuesday,February,0
2025-11-28,Apollo Pharmacy,M118,Asthma Inhaler,Respiratory,450,0,1,80,Friday,November,0
2025-06-14,BMS Pharmacy,M120,Hand Sanitizer,Hygiene,90,0,0,87,Saturday,June,1
2025-08-28,Sara Medicos,M103,Dolo 650,Painkiller,30,0,0,88,Thursday,August,0
2025-07-14,Sara Medicos,M102,Crocin,Painkiller,35,0,0,80,Monday,July,0
2025-02-12,Sara Medicos,M105,ORS,Hydration,25,0,0,88,Wednesday,February,0
2025-09-23,Lakshya Medicals,M116,Iron Tablet,Supplement,180,0,0,84,Tuesday,September,0
2025-01-12,Sara Medicos,M116,Iron Tablet,Supplement,180,0,0,79,Sunday,January,1
2025-03-12,Sara Medicos,M111,Benadryl,Cough,90,1,0,91,Wednesday,March,0
2025-07-12,City Medicals,M106,Insulin,Diabetes,550,0,0,73,Saturday,July,1
2025-02-06,HealthMart,M104,Vitamin C,Vitamin,120,0,0,59,Thursday,February,0
2025-12-12,City Medicals,M116,Iron Tablet,Supplement,180,1,0,88,Friday,December,0
2025-08-03,HealthMart,M104,Vitamin C,Vitamin,120,0,0,82,Sunday,August,1
2025-11-11,Claire Drughouse,M105,ORS,Hydration,25,1,0,105,Tuesday,November,0
2025-10-11,Apollo Pharmacy,M120,Hand Sanitizer,Hygiene,90,0,0,79,Saturday,October,1
2025-05-12,Apollo Pharmacy,M104,Vitamin C,Vitamin,120,0,0,69,Monday,May,0
2025-12-19,SmartMed Pharmacy,M116,Iron Tablet,Supplement,180,1,0,92,Friday,December,0
2025-06-15,HealthMart,M110,Cetirizine,Allergy,40,0,0,93,Sunday,June,1
2025-07-11,Lakshya Medicals,M117,BP Tablet,Cardiac,320,0,0,70,Friday,July,0
2025-05-02,HealthMart,M110,Cetirizine,Allergy,40,0,0,86,Friday,May,0
2025-04-11,Lakshya Medicals,M105,ORS,Hydration,25,0,0,83,Friday,April,0
2025-01-03,Clarkson's Pharma,M102,Crocin,Painkiller,35,0,0,77,Friday,January,0
2025-11-29,Sara Medicos,M115,Calcium Tablet,Supplement,250,0,0,70,Saturday,November,1
2025-12-02,Lakshya Medicals,M120,Hand Sanitizer,Hygiene,90,0,0,87,Tuesday,December,0
2025-10-19,Clarkson's Pharma,M104,Vitamin C,Vitamin,120,0,0,82,Sunday,October,1
2025-10-12,BMS Pharmacy,M106,Insulin,Diabetes,550,0,1,86,Sunday,October,1
2025-03-22,HealthMart,M116,Iron Tablet,Supplement,180,1,0,109,Saturday,March,1
2025-08-23,Apollo Pharmacy,M108,Amoxicillin,Antibiotic,180,0,0,75,Saturday,August,1
2025-04-29,Apollo Pharmacy,M101,Paracetamol,Painkiller,25,1,0,92,Tuesday,April,0
2025-04-21,SmartMed Pharmacy,M114,Pantoprazole,Antacid,110,1,1,117,Monday,April,0
2025-05-29,BMS Pharmacy,M114,Pantoprazole,Antacid,110,0,0,82,Thursday,May,0
2025-03-17,SmartMed Pharmacy,M115,Calcium Tablet,Supplement,250,1,0,94,Monday,March,0
2025-08-28,Lakshya Medicals,M109,Azithromycin,Antibiotic,220,1,0,104,Thursday,August,0
2025-06-28,Sara Medicos,M107,Metformin,Diabetes,80,1,0,97,Saturday,June,1
2025-03-11,Sara Medicos,M103,Dolo 650,Painkiller,30,0,0,72,Tuesday,March,0
2025-02-05,Chen Drugstore,M113,Digene,Antacid,60,0,0,82,Wednesday,February,0
2025-02-03,Lakshya Medicals,M107,Metformin,Diabetes,80,0,0,85,Monday,February,0
2025-02-23,HealthMart,M106,Insulin,Diabetes,550,1,0,73,Sunday,February,1
2025-11-06,Apollo Pharmacy,M112,Cough Syrup,Cough,140,0,0,67,Thursday,November,0
2025-02-26,Clarkson's Pharma,M101,Paracetamol,Painkiller,25,0,0,79,Wednesday,February,0
2025-07-04,Sara Medicos,M102,Crocin,Painkiller,35,0,1,88,Friday,July,0
2025-03-13,Clarkson's Pharma,M101,Paracetamol,Painkiller,25,0,0,66,Thursday,March,0
2025-06-24,Apollo Pharmacy,M104,Vitamin C,Vitamin,120,0,0,84,Tuesday,June,0
2025-04-16,BMS Pharmacy,M112,Cough Syrup,Cough,140,1,0,100,Wednesday,April,0
2025-10-09,Sara Medicos,M118,Asthma Inhaler,Respiratory,450,0,0,54,Thursday,October,0
2025-03-31,Clarkson's Pharma,M112,Cough Syrup,Cough,140,0,1,102,Monday,March,0
2025-04-18,BMS Pharmacy,M119,Eye Drops,Eye Care,160,1,0,102,Friday,April,0
2025-08-27,Lakshya Medicals,M118,Asthma Inhaler,Respiratory,450,0,0,69,Wednesday,August,0
2025-09-05,Claire Drughouse,M119,Eye Drops,Eye Care,160,0,0,60,Friday,September,0
2025-08-15,Chen Drugstore,M118,Asthma Inhaler,Respiratory,450,0,0,63,Friday,August,0
2025-09-11,Claire Drughouse,M114,Pantoprazole,Antacid,110,1,0,98,Thursday,September,0
2025-05-28,Claire Drughouse,M119,Eye Drops,Eye Care,160,1,0,92,Wednesday,May,0
2025-04-19,Chen Drugstore,M109,Azithromycin,Antibiotic,220,1,0,92,Saturday,April,1
2025-10-15,HealthMart,M110,Cetirizine,Allergy,40,0,0,92,Wednesday,October,0
2025-06-18,Apollo Pharmacy,M114,Pantoprazole,Antacid,110,0,0,67,Wednesday,June,0
2025-05-23,Lakshya Medicals,M116,Iron Tablet,Supplement,180,0,1,89,Friday,May,0
2025-11-26,HealthMart,M102,Crocin,Painkiller,35,0,0,85,Wednesday,November,0
2025-05-09,Claire Drughouse,M109,Azithromycin,Antibiotic,220,0,0,72,Friday,May,0
2025-02-10,SmartMed Pharmacy,M118,Asthma Inhaler,Respiratory,450,0,0,66,Monday,February,0
2025-09-26,HealthMart,M118,Asthma Inhaler,Respiratory,450,0,0,68,Friday,September,0
2025-06-10,Clarkson's Pharma,M109,Azithromycin,Antibiotic,220,1,0,80,Tuesday,June,0
2025-12-13,BMS Pharmacy,M115,Calcium Tablet,Supplement,250,0,0,85,Saturday,December,1
2025-10-30,Claire Drughouse,M106,Insulin,Diabetes,550,1,0,71,Thursday,October,0
2025-02-20,City Medicals,M103,Dolo 650,Painkiller,30,1,0,94,Thursday,February,0
2025-02-24,Clarkson's Pharma,M112,Cough Syrup,Cough,140,0,0,87,Monday,February,0
2025-12-14,SmartMed Pharmacy,M116,Iron Tablet,Supplement,180,0,0,79,Sunday,December,1
2025-05-19,Apollo Pharmacy,M115,Calcium Tablet,Supplement,250,1,0,98,Monday,May,0
2025-05-19,HealthMart,M113,Digene,Antacid,60,1,1,100,Monday,May,0
2025-02-18,Apollo Pharmacy,M114,Pantoprazole,Antacid,110,0,0,68,Tuesday,February,0
2025-03-03,Clarkson's Pharma,M114,Pantoprazole,Antacid,110,0,0,79,Monday,March,0
2025-09-20,Apollo Pharmacy,M109,Azithromycin,Antibiotic,220,1,0,98,Saturday,September,1
2025-05-12,Lakshya Medicals,M108,Amoxicillin,Antibiotic,180,0,0,63,Monday,May,0
2025-07-17,Apollo Pharmacy,M102,Crocin,Painkiller,35,1,0,108,Thursday,July,0
2025-08-25,Chen Drugstore,M101,Paracetamol,Painkiller,25,1,0,104,Monday,August,0
2025-08-16,HealthMart,M120,Hand Sanitizer,Hygiene,90,0,1,112,Saturday,August,1
2025-11-07,Chen Drugstore,M110,Cetirizine,Allergy,40,1,0,105,Friday,November,0
2025-07-29,Clarkson's Pharma,M117,BP Tablet,Cardiac,320,0,0,49,Tuesday,July,0
2025-09-09,Chen Drugstore,M110,Cetirizine,Allergy,40,0,0,86,Tuesday,September,0
2025-02-22,Lakshya Medicals,M102,Crocin,Painkiller,35,1,0,108,Saturday,February,1
2025-06-06,Sara Medicos,M101,Paracetamol,Painkiller,25,0,0,85,Friday,June,0
2025-10-01,HealthMart,M120,Hand Sanitizer,Hygiene,90,0,0,82,Wednesday,October,0
2025-05-17,SmartMed Pharmacy,M113,Digene,Antacid,60,0,0,91,Saturday,May,1
2025-05-29,Chen Drugstore,M117,BP Tablet,Cardiac,320,1,0,76,Thursday,May,0
2025-05-28,HealthMart,M107,Metformin,Diabetes,80,0,1,105,Wednesday,May,0
2025-02-21,Claire Drughouse,M116,Iron Tablet,Supplement,180,0,0,85,Friday,February,0
2025-04-17,Apollo Pharmacy,M105,ORS,Hydration,25,0,0,78,Thursday,April,0
2025-01-27,BMS Pharmacy,M111,Benadryl,Cough,90,0,0,65,Monday,January,0
2025-11-27,Apollo Pharmacy,M109,Azithromycin,Antibiotic,220,0,0,74,Thursday,November,0
2025-01-19,Claire Drughouse,M114,Pantoprazole,Antacid,110,0,0,71,Sunday,January,1
2025-03-19,Apollo Pharmacy,M114,Pantoprazole,Antacid,110,0,1,85,Wednesday,March,0
2025-09-17,BMS Pharmacy,M112,Cough Syrup,Cough,140,0,0,68,Wednesday,September,0
2025-02-07,SmartMed Pharmacy,M111,Benadryl,Cough,90,0,0,67,Friday,February,0
2025-01-30,Sara Medicos,M115,Calcium Tablet,Supplement,250,0,0,58,Thursday,January,0
2025-11-30,Chen Drugstore,M116,Iron Tablet,Supplement,180,0,0,76,Sunday,November,1
2025-06-16,Claire Drughouse,M112,Cough Syrup,Cough,140,1,0,89,Monday,June,0
2025-10-05,Chen Drugstore,M120,Hand Sanitizer,Hygiene,90,0,0,70,Sunday,October,1
2025-01-12,Chen Drugstore,M102,Crocin,Painkiller,35,0,0,90,Sunday,January,1
2025-12-16,Claire Drughouse,M119,Eye Drops,Eye Care,160,0,0,70,Tuesday,December,0
2025-01-28,HealthMart,M112,Cough Syrup,Cough,140,1,0,91,Tuesday,January,0
2025-10-16,Sara Medicos,M108,Amoxicillin,Antibiotic,180,0,1,82,Thursday,October,0
2025-07-23,Lakshya Medicals,M113,Digene,Antacid,60,0,0,82,Wednesday,July,0
2025-10-31,BMS Pharmacy,M111,Benadryl,Cough,90,1,0,106,Friday,October,0
2025-03-19,HealthMart,M109,Azithromycin,Antibiotic,220,0,0,84,Wednesday,March,0
2025-07-17,SmartMed Pharmacy,M105,ORS,Hydration,25,0,0,68,Thursday,July,0
2025-08-15,Clarkson's Pharma,M113,Digene,Antacid,60,0,0,92,Friday,August,0
2025-04-28,Claire Drughouse,M103,Dolo 650,Painkiller,30,0,0,76,Monday,April,0
2025-01-02,HealthMart,M106,Insulin,Diabetes,550,1,0,78,Thursday,January,0
2025-08-22,Claire Drughouse,M101,Paracetamol,Painkiller,25,0,0,92,Friday,August,0
2025-02-28,SmartMed Pharmacy,M108,Amoxicillin,Antibiotic,180,0,0,57,Friday,February,0
2025-10-15,Clarkson's Pharma,M118,Asthma Inhaler,Respiratory,450,1,1,96,Wednesday,October,0
2025-11-19,HealthMart,M109,Azithromycin,Antibiotic,220,0,0,70,Wednesday,November,0
2025-03-24,BMS Pharmacy,M118,Asthma Inhaler,Respiratory,450,0,0,72,Monday,March,0
2025-02-23,Sara Medicos,M112,Cough Syrup,Cough,140,0,0,91,Sunday,February,1
2025-09-19,BMS Pharmacy,M118,Asthma Inhaler,Respiratory,450,1,0,74,Friday,September,0
2025-05-11,Apollo Pharmacy,M119,Eye Drops,Eye Care,160,0,0,74,Sunday,May,1
2025-06-02,Lakshya Medicals,M109,Azithromycin,Antibiotic,220,0,0,78,Monday,June,0
2025-09-29,SmartMed Pharmacy,M113,Digene,Antacid,60,0,0,63,Monday,September,0
2025-05-28,Clarkson's Pharma,M106,Insulin,Diabetes,550,0,0,59,Wednesday,May,0
2025-03-28,City Medicals,M109,Azithromycin,Antibiotic,220,1,0,85,Friday,March,0
2025-07-20,City Medicals,M120,Hand Sanitizer,Hygiene,90,0,0,79,Sunday,July,1
2025-08-23,Clarkson's Pharma,M104,Vitamin C,Vitamin,120,0,0,93,Saturday,August,1
2025-05-30,Lakshya Medicals,M114,Pantoprazole,Antacid,110,0,1,76,Friday,May,0
2025-02-13,City Medicals,M109,Azithromycin,Antibiotic,220,0,0,68,Thursday,February,0
2025-10-16,Lakshya Medicals,M103,Dolo 650,Painkiller,30,0,0,79,Thursday,October,0
2025-04-29,HealthMart,M119,Eye Drops,Eye Care,160,0,0,70,Tuesday,April,0
2025-05-13,Sara Medicos,M116,Iron Tablet,Supplement,180,0,0,75,Tuesday,May,0
2025-04-25,Chen Drugstore,M105,ORS,Hydration,25,0,0,66,Friday,April,0
2025-10-07,City Medicals,M101,Paracetamol,Painkiller,25,0,0,70,Tuesday,October,0
2025-09-09,SmartMed Pharmacy,M120,Hand Sanitizer,Hygiene,90,0,0,87,Tuesday,September,0
2025-09-24,Chen Drugstore,M112,Cough Syrup,Cough,140,1,1,100,Wednesday,September,0
2025-11-08,Sara Medicos,M120,Hand Sanitizer,Hygiene,90,1,0,116,Saturday,November,1
2025-06-15,Lakshya Medicals,M114,Pantoprazole,Antacid,110,0,0,84,Sunday,June,1
2025-09-25,Lakshya Medicals,M108,Amoxicillin,Antibiotic,180,0,0,56,Thursday,September,0
2025-11-22,Chen Drugstore,M118,Asthma Inhaler,Respiratory,450,0,0,59,Saturday,November,1
2025-01-11,Chen Drugstore,M107,Metformin,Diabetes,80,1,0,102,Saturday,January,1
2025-06-15,Lakshya Medicals,M115,Calcium Tablet,Supplement,250,1,1,122,Sunday,June,1
2025-12-03,HealthMart,M101,Paracetamol,Painkiller,25,0,0,67,Wednesday,December,0
2025-10-30,HealthMart,M110,Cetirizine,Allergy,40,0,0,84,Thursday,October,0
2025-07-16,Clarkson's Pharma,M107,Metformin,Diabetes,80,0,0,82,Wednesday,July,0
2025-01-10,Sara Medicos,M107,Metformin,Diabetes,80,0,0,82,Friday,January,0
2025-06-25,Clarkson's Pharma,M113,Digene,Antacid,60,0,0,89,Wednesday,June,0
2025-09-09,Claire Drughouse,M113,Digene,Antacid,60,0,0,64,Tuesday,September,0
2025-06-04,SmartMed Pharmacy,M105,ORS,Hydration,25,0,0,72,Wednesday,June,0
2025-02-08,Lakshya Medicals,M110,Cetirizine,Allergy,40,1,1,135,Saturday,February,1
2025-06-01,Claire Drughouse,M111,Benadryl,Cough,90,0,0,73,Sunday,June,1
2025-01-22,Apollo Pharmacy,M119,Eye Drops,Eye Care,160,0,0,74,Wednesday,January,0
2025-12-20,HealthMart,M108,Amoxicillin,Antibiotic,180,0,0,82,Saturday,December,1
2025-04-28,Sara Medicos,M101,Paracetamol,Painkiller,25,0,0,83,Monday,April,0
2025-07-12,HealthMart,M109,Azithromycin,Antibiotic,220,0,0,80,Saturday,July,1
2025-04-20,Clarkson's Pharma,M102,Crocin,Painkiller,35,0,0,99,Sunday,April,1
2025-03-24,Clarkson's Pharma,M114,Pantoprazole,Antacid,110,0,0,72,Monday,March,0
2025-07-01,Sara Medicos,M111,Benadryl,Cough,90,0,0,84,Tuesday,July,0
2025-12-16,BMS Pharmacy,M102,Crocin,Painkiller,35,0,0,76,Tuesday,December,0
2025-10-17,Claire Drughouse,M102,Crocin,Painkiller,35,0,0,64,Friday,October,0
2025-05-13,Claire Drughouse,M102,Crocin,Painkiller,35,0,0,87,Tuesday,May,0
2025-10-24,Clarkson's Pharma,M120,Hand Sanitizer,Hygiene,90,0,0,60,Friday,October,0
2025-01-19,Lakshya Medicals,M116,Iron Tablet,Supplement,180,1,1,112,Sunday,January,1
2025-11-16,Chen Drugstore,M103,Dolo 650,Painkiller,30,0,1,118,Sunday,November,1
