Date,Store_ID,Item_ID,Medicine_Name,Category,Base_Price,Promotion,Holiday,Units_Sold
2025-02-18,HealthMart,M116,Iron Tablet,Supplement,180,0,0,75
2025-11-28,Apollo Pharmacy,M118,Asthma Inhaler,Respiratory,450,0,1,80
2025-06-14,BMS Pharmacy,M120,Hand Sanitizer,Hygiene,90,0,0,87
2025-08-28,Sara Medicos,M103,Dolo 650,Painkiller,30,0,0,88
2025-07-14,Sara Medicos,M102,Crocin,Painkiller,35,0,0,80
2025-02-12,Sara Medicos,M105,ORS,Hydration,25,0,0,88
2025-09-23,Lakshya Medicals,M116,Iron Tablet,Supplement,180,0,0,84
2025-01-12,Sara Medicos,M116,Iron Tablet,Supplement,180,0,0,79
2025-03-12,Sara Medicos,M111,Benadryl,Cough,90,1,0,91
2025-07-12,City Medicals,M106,Insulin,Diabetes,550,0,0,73
2025-02-06,HealthMart,M104,Vitamin C,Vitamin,120,0,0,59
2025-12-12,City Medicals,M116,Iron Tablet,Supplement,180,1,0,88
2025-08-03,HealthMart,M104,Vitamin C,Vitamin,120,0,0,82
2025-11-11,Claire Drughouse,M105,ORS,Hydration,25,1,0,105
2025-10-11,Apollo Pharmacy,M120,Hand Sanitizer,Hygiene,90,0,0,79
2025-05-12,Apollo Pharmacy,M104,Vitamin C,Vitamin,120,0,0,69
2025-12-19,SmartMed Pharmacy,M116,Iron Tablet,Supplement,180,1,0,92
2025-06-15,HealthMart,M110,Cetirizine,Allergy,40,0,0,93
2025-07-11,Lakshya Medicals,M117,BP Tablet,Cardiac,320,0,0,70
2025-05-02,HealthMart,M110,Cetirizine,Allergy,40,0,0,86
2025-04-11,Lakshya Medicals,M105,ORS,Hydration,25,0,0,83
2025-01-03,Clarkson's Pharma,M102,Crocin,Painkiller,35,0,0,77
2025-11-29,Sara Medicos,M115,Calcium Tablet,Supplement,250,0,0,70
2025-12-02,Lakshya Medicals,M120,Hand Sanitizer,Hygiene,90,0,0,87
2025-10-19,Clarkson's Pharma,M104,Vitamin C,Vitamin,120,0,0,82
2025-10-12,BMS Pharmacy,M106,Insulin,Diabetes,550,0,1,86
2025-03-22,HealthMart,M116,Iron Tablet,Supplement,180,1,0,109
2025-08-23,Apollo Pharmacy,M108,Amoxicillin,Antibiotic,180,0,0,75
2025-04-29,Apollo Pharmacy,M101,Paracetamol,Painkiller,25,1,0,92
2025-04-21,SmartMed Pharmacy,M114,Pantoprazole,Antacid,110,1,1,117
2025-05-29,BMS Pharmacy,M114,Pantoprazole,Antacid,110,0,0,82
2025-03-17,SmartMed Pharmacy,M115,Calcium Tablet,Supplement,250,1,0,94
2025-08-28,Lakshya Medicals,M109,Azithromycin,Antibiotic,220,1,0,104
2025-06-28,Sara Medicos,M107,Metformin,Diabetes,80,1,0,97
2025-03-11,Sara Medicos,M103,Dolo 650,Painkiller,30,0,0,72
2025-02-05,Chen Drugstore,M113,Digene,Antacid,60,0,0,82
2025-02-03,Lakshya Medicals,M107,Metformin,Diabetes,80,0,0,85
2025-02-23,HealthMart,M106,Insulin,Diabetes,550,1,0,73
2025-11-06,Apollo Pharmacy,M112,Cough Syrup,Cough,140,0,0,67
2025-02-26,Clarkson's Pharma,M101,Paracetamol,Painkiller,25,0,0,79
2025-07-04,Sara Medicos,M102,Crocin,Painkiller,35,0,1,88
2025-03-13,Clarkson's Pharma,M101,Paracetamol,Painkiller,25,0,0,66
2025-06-24,Apollo Pharmacy,M104,Vitamin C,Vitamin,120,0,0,84
2025-04-16,BMS Pharmacy,M112,Cough Syrup,Cough,140,1,0,100
2025-10-09,Sara Medicos,M118,Asthma Inhaler,Respiratory,450,0,0,54
2025-03-31,Clarkson's Pharma,M112,Cough Syrup,Cough,140,0,1,102
2025-04-18,BMS Pharmacy,M119,Eye Drops,Eye Care,160,1,0,102
2025-08-27,Lakshya Medicals,M118,Asthma Inhaler,Respiratory,450,0,0,69
2025-09-05,Claire Drughouse,M119,Eye Drops,Eye Care,160,0,0,60
2025-08-15,Chen Drugstore,M118,Asthma Inhaler,Respiratory,450,0,0,63
2025-09-11,Claire Drughouse,M114,Pantoprazole,Antacid,110,1,0,98
2025-05-28,Claire Drughouse,M119,Eye Drops,Eye Care,160,1,0,92
2025-04-19,Chen Drugstore,M109,Azithromycin,Antibiotic,220,1,0,92
2025-10-15,HealthMart,M110,Cetirizine,Allergy,40,0,0,92
2025-06-18,Apollo Pharmacy,M114,Pantoprazole,Antacid,110,0,0,67
2025-05-23,Lakshya Medicals,M116,Iron Tablet,Supplement,180,0,1,89
2025-11-26,HealthMart,M102,Crocin,Painkiller,35,0,0,85
2025-05-09,Claire Drughouse,M109,Azithromycin,Antibiotic,220,0,0,72
2025-02-10,SmartMed Pharmacy,M118,Asthma Inhaler,Respiratory,450,0,0,66
2025-09-26,HealthMart,M118,Asthma Inhaler,Respiratory,450,0,0,68
2025-06-10,Clarkson's Pharma,M109,Azithromycin,Antibiotic,220,1,0,80
2025-12-13,BMS Pharmacy,M115,Calcium Tablet,Supplement,250,0,0,85
2025-10-30,Claire Drughouse,M106,Insulin,Diabetes,550,1,0,71
2025-02-20,City Medicals,M103,Dolo 650,Painkiller,30,1,0,94
2025-02-24,Clarkson's Pharma,M112,Cough Syrup,Cough,140,0,0,87
2025-12-14,SmartMed Pharmacy,M116,Iron Tablet,Supplement,180,0,0,79
2025-05-19,Apollo Pharmacy,M115,Calcium Tablet,Supplement,250,1,0,98
2025-05-19,HealthMart,M113,Digene,Antacid,60,1,1,100
2025-02-18,Apollo Pharmacy,M114,Pantoprazole,Antacid,110,0,0,68
2025-03-03,Clarkson's Pharma,M114,Pantoprazole,Antacid,110,0,0,79
2025-09-20,Apollo Pharmacy,M109,Azithromycin,Antibiotic,220,1,0,98
2025-05-12,Lakshya Medicals,M108,Amoxicillin,Antibiotic,180,0,0,63
2025-07-17,Apollo Pharmacy,M102,Crocin,Painkiller,35,1,0,108
2025-08-25,Chen Drugstore,M101,Paracetamol,Painkiller,25,1,0,104
2025-08-16,HealthMart,M120,Hand Sanitizer,Hygiene,90,0,1,112
2025-11-07,Chen Drugstore,M110,Cetirizine,Allergy,40,1,0,105
2025-07-29,Clarkson's Pharma,M117,BP Tablet,Cardiac,320,0,0,49
2025-09-09,Chen Drugstore,M110,Cetirizine,Allergy,40,0,0,86
2025-02-22,Lakshya Medicals,M102,Crocin,Painkiller,35,1,0,108
2025-06-06,Sara Medicos,M101,Paracetamol,Painkiller,25,0,0,85
2025-10-01,HealthMart,M120,Hand Sanitizer,Hygiene,90,0,0,82
2025-05-17,SmartMed Pharmacy,M113,Digene,Antacid,60,0,0,91
2025-05-29,Chen Drugstore,M117,BP Tablet,Cardiac,320,1,0,76
2025-05-28,HealthMart,M107,Metformin,Diabetes,80,0,1,105
2025-02-21,Claire Drughouse,M116,Iron Tablet,Supplement,180,0,0,85
2025-04-17,Apollo Pharmacy,M105,ORS,Hydration,25,0,0,78
2025-01-27,BMS Pharmacy,M111,Benadryl,Cough,90,0,0,65
2025-11-27,Apollo Pharmacy,M109,Azithromycin,Antibiotic,220,0,0,74
2025-01-19,Claire Drughouse,M114,Pantoprazole,Antacid,110,0,0,71
2025-03-19,Apollo Pharmacy,M114,Pantoprazole,Antacid,110,0,1,85
2025-09-17,BMS Pharmacy,M112,Cough Syrup,Cough,140,0,0,68
2025-02-07,SmartMed Pharmacy,M111,Benadryl,Cough,90,0,0,67
2025-01-30,Sara Medicos,M115,Calcium Tablet,Supplement,250,0,0,58
2025-11-30,Chen Drugstore,M116,Iron Tablet,Supplement,180,0,0,76
2025-06-16,Claire Drughouse,M112,Cough Syrup,Cough,140,1,0,89
2025-10-05,Chen Drugstore,M120,Hand Sanitizer,Hygiene,90,0,0,70
2025-01-12,Chen Drugstore,M102,Crocin,Painkiller,35,0,0,90
2025-12-16,Claire Drughouse,M119,Eye Drops,Eye Care,160,0,0,70
2025-01-28,HealthMart,M112,Cough Syrup,Cough,140,1,0,91
2025-10-16,Sara Medicos,M108,Amoxicillin,Antibiotic,180,0,1,82
2025-07-23,Lakshya Medicals,M113,Digene,Antacid,60,0,0,82
2025-10-31,BMS Pharmacy,M111,Benadryl,Cough,90,1,0,106
2025-03-19,HealthMart,M109,Azithromycin,Antibiotic,220,0,0,84
2025-07-17,SmartMed Pharmacy,M105,ORS,Hydration,25,0,0,68
2025-08-15,Clarkson's Pharma,M113,Digene,Antacid,60,0,0,92
2025-04-28,Claire Drughouse,M103,Dolo 650,Painkiller,30,0,0,76
2025-01-02,HealthMart,M106,Insulin,Diabetes,550,1,0,78
2025-08-22,Claire Drughouse,M101,Paracetamol,Painkiller,25,0,0,92
2025-02-28,SmartMed Pharmacy,M108,Amoxicillin,Antibiotic,180,0,0,57
2025-10-15,Clarkson's Pharma,M118,Asthma Inhaler,Respiratory,450,1,1,96
2025-11-19,HealthMart,M109,Azithromycin,Antibiotic,220,0,0,70
2025-03-24,BMS Pharmacy,M118,Asthma Inhaler,Respiratory,450,0,0,72
2025-02-23,Sara Medicos,M112,Cough Syrup,Cough,140,0,0,91
2025-09-19,BMS Pharmacy,M118,Asthma Inhaler,Respiratory,450,1,0,74
2025-05-11,Apollo Pharmacy,M119,Eye Drops,Eye Care,160,0,0,74
2025-06-02,Lakshya Medicals,M109,Azithromycin,Antibiotic,220,0,0,78
2025-09-29,SmartMed Pharmacy,M113,Digene,Antacid,60,0,0,63
2025-05-28,Clarkson's Pharma,M106,Insulin,Diabetes,550,0,0,59
2025-03-28,City Medicals,M109,Azithromycin,Antibiotic,220,1,0,85
2025-07-20,City Medicals,M120,Hand Sanitizer,Hygiene,90,0,0,79
2025-08-23,Clarkson's Pharma,M104,Vitamin C,Vitamin,120,0,0,93
2025-05-30,Lakshya Medicals,M114,Pantoprazole,Antacid,110,0,1,76
2025-02-13,City Medicals,M109,Azithromycin,Antibiotic,220,0,0,68
2025-10-16,Lakshya Medicals,M103,Dolo 650,Painkiller,30,0,0,79
2025-04-29,HealthMart,M119,Eye Drops,Eye Care,160,0,0,70
2025-05-13,Sara Medicos,M116,Iron Tablet,Supplement,180,0,0,75
2025-04-25,Chen Drugstore,M105,ORS,Hydration,25,0,0,66
2025-10-07,City Medicals,M101,Paracetamol,Painkiller,25,0,0,70
2025-09-09,SmartMed Pharmacy,M120,Hand Sanitizer,Hygiene,90,0,0,87
2025-09-24,Chen Drugstore,M112,Cough Syrup,Cough,140,1,1,100
2025-11-08,Sara Medicos,M120,Hand Sanitizer,Hygiene,90,1,0,116
2025-06-15,Lakshya Medicals,M114,Pantoprazole,Antacid,110,0,0,84
2025-09-25,Lakshya Medicals,M108,Amoxicillin,Antibiotic,180,0,0,56
2025-11-22,Chen Drugstore,M118,Asthma Inhaler,Respiratory,450,0,0,59
2025-01-11,Chen Drugstore,M107,Metformin,Diabetes,80,1,0,102
2025-06-15,Lakshya Medicals,M115,Calcium Tablet,Supplement,250,1,1,122
2025-12-03,HealthMart,M101,Paracetamol,Painkiller,25,0,0,67
2025-10-30,HealthMart,M110,Cetirizine,Allergy,40,0,0,84
2025-07-16,Clarkson's Pharma,M107,Metformin,Diabetes,80,0,0,82
2025-01-10,Sara Medicos,M107,Metformin,Diabetes,80,0,0,82
2025-06-25,Clarkson's Pharma,M113,Digene,Antacid,60,0,0,89
2025-09-09,Claire Drughouse,M113,Digene,Antacid,60,0,0,64
2025-06-04,SmartMed Pharmacy,M105,ORS,Hydration,25,0,0,72
2025-02-08,Lakshya Medicals,M110,Cetirizine,Allergy,40,1,1,135
2025-06-01,Claire Drughouse,M111,Benadryl,Cough,90,0,0,73
2025-01-22,Apollo Pharmacy,M119,Eye Drops,Eye Care,160,0,0,74
2025-12-20,HealthMart,M108,Amoxicillin,Antibiotic,180,0,0,82
2025-04-28,Sara Medicos,M101,Paracetamol,Painkiller,25,0,0,83
2025-07-12,HealthMart,M109,Azithromycin,Antibiotic,220,0,0,80
2025-04-20,Clarkson's Pharma,M102,Crocin,Painkiller,35,0,0,99
2025-03-24,Clarkson's Pharma,M114,Pantoprazole,Antacid,110,0,0,72
2025-07-01,Sara Medicos,M111,Benadryl,Cough,90,0,0,84
2025-12-16,BMS Pharmacy,M102,Crocin,Painkiller,35,0,0,76
2025-10-17,Claire Drughouse,M102,Crocin,Painkiller,35,0,0,64
2025-05-13,Claire Drughouse,M102,Crocin,Painkiller,35,0,0,87
2025-10-24,Clarkson's Pharma,M120,Hand Sanitizer,Hygiene,90,0,0,60
2025-01-19,Lakshya Medicals,M116,Iron Tablet,Supplement,180,1,1,112
2025-11-16,Chen Drugstore,M103,Dolo 650,Painkiller,30,0,1,118
2025-09-08,Claire Drughouse,M102,Crocin,Painkiller,35,1,0,88
2025-06-06,BMS Pharmacy,M107,Metformin,Diabetes,80,0,0,82
2025-03-06,Sara Medicos,M107,Metformin,Diabetes,80,0,0,72
2025-10-22,Apollo Pharmacy,M109,Azithromycin,Antibiotic,220,1,0,88
2025-08-25,BMS Pharmacy,M120,Hand Sanitizer,Hygiene,90,0,0,73
2025-09-13,Claire Drughouse,M103,Dolo 650,Painkiller,30,0,0,90
2025-01-31,Claire Drughouse,M114,Pantoprazole,Antacid,110,1,1,113
2025-12-20,Claire Drughouse,M105,ORS,Hydration,25,1,0,121
2025-06-25,Lakshya Medicals,M108,Amoxicillin,Antibiotic,180,1,0,91
2025-03-21,BMS Pharmacy,M104,Vitamin C,Vitamin,120,0,0,88
2025-01-11,HealthMart,M111,Benadryl,Cough,90,0,0,82
2025-06-17,Sara Medicos,M112,Cough Syrup,Cough,140,1,0,95
2025-07-02,Chen Drugstore,M120,Hand Sanitizer,Hygiene,90,0,0,70
2025-03-12,City Medicals,M113,Digene,Antacid,60,0,0,86
2025-04-18,Chen Drugstore,M109,Azithromycin,Antibiotic,220,0,0,72
2025-03-17,SmartMed Pharmacy,M113,Digene,Antacid,60,0,0,92
2025-04-21,Clarkson's Pharma,M110,Cetirizine,Allergy,40,1,0,100
2025-07-24,SmartMed Pharmacy,M111,Benadryl,Cough,90,0,0,66
2025-06-08,Lakshya Medicals,M107,Metformin,Diabetes,80,0,0,96
2025-03-20,City Medicals,M113,Digene,Antacid,60,1,0,92
2025-05-24,Clarkson's Pharma,M115,Calcium Tablet,Supplement,250,1,0,107
2025-02-03,Apollo Pharmacy,M115,Calcium Tablet,Supplement,250,0,0,71
2025-11-29,Clarkson's Pharma,M102,Crocin,Painkiller,35,0,0,99
2025-06-11,City Medicals,M111,Benadryl,Cough,90,0,0,72
2025-09-03,HealthMart,M113,Digene,Antacid,60,0,1,88
2025-03-11,Chen Drugstore,M104,Vitamin C,Vitamin,120,0,0,80
2025-08-31,BMS Pharmacy,M102,Crocin,Painkiller,35,1,0,110
2025-11-20,City Medicals,M110,Cetirizine,Allergy,40,1,0,100
2025-06-22,City Medicals,M119,Eye Drops,Eye Care,160,0,0,78
2025-05-25,Apollo Pharmacy,M103,Dolo 650,Painkiller,30,1,0,109
2025-08-24,Clarkson's Pharma,M108,Amoxicillin,Antibiotic,180,1,0,88
2025-12-18,Chen Drugstore,M105,ORS,Hydration,25,0,0,64
2025-01-21,Claire Drughouse,M112,Cough Syrup,Cough,140,0,0,64
2025-09-26,Chen Drugstore,M114,Pantoprazole,Antacid,110,0,0,61
2025-11-12,Sara Medicos,M101,Paracetamol,Painkiller,25,1,1,109
2025-05-02,HealthMart,M120,Hand Sanitizer,Hygiene,90,0,0,67
2025-06-04,Apollo Pharmacy,M102,Crocin,Painkiller,35,0,0,92
2025-03-01,SmartMed Pharmacy,M117,BP Tablet,Cardiac,320,0,0,67
2025-06-30,Sara Medicos,M118,Asthma Inhaler,Respiratory,450,0,0,55
2025-08-11,Lakshya Medicals,M101,Paracetamol,Painkiller,25,0,0,77
2025-04-07,Chen Drugstore,M120,Hand Sanitizer,Hygiene,90,0,0,66
2025-12-25,Clarkson's Pharma,M107,Metformin,Diabetes,80,0,0,85
2025-10-17,Lakshya Medicals,M111,Benadryl,Cough,90,0,0,80
2025-06-27,Lakshya Medicals,M106,Insulin,Diabetes,550,1,0,74
2025-05-11,Clarkson's Pharma,M106,Insulin,Diabetes,550,1,0,72
2025-08-28,Chen Drugstore,M115,Calcium Tablet,Supplement,250,0,0,72
2025-01-29,City Medicals,M104,Vitamin C,Vitamin,120,0,0,85
2025-03-06,Apollo Pharmacy,M120,Hand Sanitizer,Hygiene,90,1,0,89
2025-04-27,HealthMart,M118,Asthma Inhaler,Respiratory,450,0,0,77
2025-07-21,Lakshya Medicals,M113,Digene,Antacid,60,0,0,82
2025-12-18,Claire Drughouse,M106,Insulin,Diabetes,550,0,1,56
2025-02-14,City Medicals,M119,Eye Drops,Eye Care,160,1,0,101
2025-02-17,BMS Pharmacy,M104,Vitamin C,Vitamin,120,1,1,113
2025-01-24,Sara Medicos,M114,Pantoprazole,Antacid,110,0,0,73
2025-03-05,Claire Drughouse,M112,Cough Syrup,Cough,140,0,0,71
2025-01-24,Claire Drughouse,M113,Digene,Antacid,60,0,0,62
2025-07-14,SmartMed Pharmacy,M102,Crocin,Painkiller,35,0,0,93
2025-04-25,Claire Drughouse,M101,Paracetamol,Painkiller,25,1,0,92
2025-02-15,Apollo Pharmacy,M117,BP Tablet,Cardiac,320,0,0,87
2025-11-15,Lakshya Medicals,M102,Crocin,Painkiller,35,0,0,75
2025-03-13,Chen Drugstore,M108,Amoxicillin,Antibiotic,180,1,0,79
2025-10-21,Claire Drughouse,M110,Cetirizine,Allergy,40,0,0,71
2025-03-18,BMS Pharmacy,M103,Dolo 650,Painkiller,30,0,0,72
2025-05-19,Chen Drugstore,M104,Vitamin C,Vitamin,120,0,0,82
2025-10-23,City Medicals,M116,Iron Tablet,Supplement,180,1,0,100
2025-02-07,Apollo Pharmacy,M102,Crocin,Painkiller,35,0,0,89
